Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Orlando,Weekly,"2023-02-26 00:00:00",Conventional,0.967641531,654998.92,299549.50,5318.28,100.74,247628.85,,,
Orlando,Weekly,"2023-02-19 00:00:00",Conventional,0.870728134,684803.99,342084.45,6153.04,78.40,223575.10,,,
Orlando,Weekly,"2023-02-12 00:00:00",Conventional,0.868234939,740457.47,359964.52,5855.85,49.85,241859.44,,,
Orlando,Weekly,"2023-02-05 00:00:00",Conventional,0.882170440,707130.15,352083.49,6103.33,82.22,245986.63,,,
Peoria/Springfield,Weekly,"2023-02-26 00:00:00",Conventional,0.833815342,130420.61,40103.65,8878.21,9169.01,44794.67,,,
Peoria/Springfield,Weekly,"2023-02-19 00:00:00",Conventional,0.876379122,120346.40,40043.39,8817.35,2853.62,36261.35,,,
Peoria/Springfield,Weekly,"2023-02-12 00:00:00",Conventional,0.793913680,163580.61,44822.08,14243.38,11649.47,44194.77,,,
Peoria/Springfield,Weekly,"2023-02-05 00:00:00",Conventional,0.855500595,135990.63,36575.91,7387.66,10383.55,38323.00,,,
Philadelphia,Weekly,"2023-02-26 00:00:00",Conventional,1.033556215,645356.35,115985.80,227053.64,12695.59,232379.70,,,
Philadelphia,Weekly,"2023-02-19 00:00:00",Conventional,1.103701627,626477.64,139905.65,190847.83,23266.71,212890.37,,,
Philadelphia,Weekly,"2023-02-12 00:00:00",Conventional,1.152521835,724770.04,131048.44,279040.50,15683.18,230105.14,,,
Philadelphia,Weekly,"2023-02-05 00:00:00",Conventional,1.130587290,621086.24,155210.60,180944.80,11386.06,211715.53,,,
Phoenix/Tucson,Weekly,"2023-02-26 00:00:00",Conventional,0.846645869,1130901.95,291792.42,115124.52,3719.47,294066.45,,,
Phoenix/Tucson,Weekly,"2023-02-19 00:00:00",Conventional,0.860378032,1270409.98,356531.55,118782.27,3793.71,230069.36,,,
Phoenix/Tucson,Weekly,"2023-02-12 00:00:00",Conventional,0.829792628,1619116.24,447905.59,177020.11,4776.88,236347.22,,,
Phoenix/Tucson,Weekly,"2023-02-05 00:00:00",Conventional,0.725979339,1698918.54,388126.07,159518.12,3602.19,220927.93,,,
Pittsburgh,Weekly,"2023-02-26 00:00:00",Conventional,0.926393587,161643.20,59664.59,16882.15,81.64,49326.42,,,
Pittsburgh,Weekly,"2023-02-19 00:00:00",Conventional,1.302793796,124022.66,38834.76,16818.54,90.82,49476.37,,,
Pittsburgh,Weekly,"2023-02-12 00:00:00",Conventional,0.994950128,183873.05,74936.48,18634.97,57.01,50667.26,,,
Pittsburgh,Weekly,"2023-02-05 00:00:00",Conventional,1.357987492,125707.76,42937.48,17762.63,53.17,48076.34,,,
Portland,Weekly,"2023-02-26 00:00:00",Conventional,1.208826964,552188.64,83516.39,46154.32,6549.43,107275.17,,,
Portland,Weekly,"2023-02-19 00:00:00",Conventional,1.156219523,636452.70,89273.57,86158.51,5854.20,91617.51,,,
Portland,Weekly,"2023-02-12 00:00:00",Conventional,1.074656604,799625.79,100330.67,81827.07,8606.79,107328.26,,,
Portland,Weekly,"2023-02-05 00:00:00",Conventional,1.131900517,607173.61,82849.81,57511.39,8051.68,90962.96,,,
Providence,Weekly,"2023-02-26 00:00:00",Conventional,1.290388472,89084.67,3821.80,58440.02,17.39,16532.93,,,
Providence,Weekly,"2023-02-19 00:00:00",Conventional,1.438477775,85754.98,4646.64,52092.93,11.34,14796.48,,,
Providence,Weekly,"2023-02-12 00:00:00",Conventional,1.481540010,83293.62,5079.38,49555.49,13.67,17830.00,,,
Providence,Weekly,"2023-02-05 00:00:00",Conventional,1.447107917,86353.69,4087.54,48830.68,28.74,21916.65,,,
Raleigh/Greensboro,Weekly,"2023-02-26 00:00:00",Conventional,1.094578977,443352.63,144437.04,64016.96,619.19,181020.85,,,
Raleigh/Greensboro,Weekly,"2023-02-19 00:00:00",Conventional,1.034381754,459762.27,153665.62,61283.19,423.02,188867.74,,,
Raleigh/Greensboro,Weekly,"2023-02-12 00:00:00",Conventional,0.963711508,557026.57,218728.96,101850.12,774.07,177334.39,,,
Raleigh/Greensboro,Weekly,"2023-02-05 00:00:00",Conventional,1.115360731,452278.70,157847.39,71433.58,715.40,170299.86,,,
Richmond/Norfolk,Weekly,"2023-02-26 00:00:00",Conventional,1.019040956,332082.98,83511.88,64571.42,163.06,120028.38,,,
Richmond/Norfolk,Weekly,"2023-02-19 00:00:00",Conventional,1.029174026,322098.43,83540.85,68343.45,162.48,101721.91,,,
Richmond/Norfolk,Weekly,"2023-02-12 00:00:00",Conventional,0.946595408,415332.67,131654.38,90295.10,271.45,97127.56,,,
Richmond/Norfolk,Weekly,"2023-02-05 00:00:00",Conventional,1.003540468,345334.43,98022.41,72762.12,197.69,99663.64,,,
Roanoke,Weekly,"2023-02-26 00:00:00",Conventional,0.925433683,206337.06,54406.05,24171.40,500.14,73805.87,,,
Roanoke,Weekly,"2023-02-19 00:00:00",Conventional,0.971898336,196912.35,54434.56,26304.55,1012.89,53656.50,,,
Roanoke,Weekly,"2023-02-12 00:00:00",Conventional,0.900979472,256013.54,77777.68,35041.40,691.48,56514.12,,,
Roanoke,Weekly,"2023-02-05 00:00:00",Conventional,0.911751644,212205.84,62613.69,23636.56,645.51,56701.24,,,
Sacramento,Weekly,"2023-02-26 00:00:00",Conventional,1.220417248,441674.12,131222.42,118855.12,242.04,80950.20,,,
Sacramento,Weekly,"2023-02-19 00:00:00",Conventional,1.442132561,386605.74,113507.96,99250.88,166.32,84874.87,,,
Sacramento,Weekly,"2023-02-12 00:00:00",Conventional,1.233391296,582339.16,167238.25,187684.37,222.51,99198.22,,,
Sacramento,Weekly,"2023-02-05 00:00:00",Conventional,1.493288746,400411.91,111114.85,103101.45,144.83,93243.39,,,
"San Diego",Weekly,"2023-02-26 00:00:00",Conventional,1.215863189,509730.63,109144.64,7380.19,10167.86,116020.03,,,
"San Diego",Weekly,"2023-02-19 00:00:00",Conventional,1.196344497,529417.78,110329.44,7570.42,13962.20,116177.55,,,
"San Diego",Weekly,"2023-02-12 00:00:00",Conventional,1.072122241,616914.90,117472.27,8128.35,23177.04,125765.29,,,
"San Diego",Weekly,"2023-02-05 00:00:00",Conventional,1.183799861,532068.35,116889.20,7693.78,10643.61,127668.72,,,
"San Francisco",Weekly,"2023-02-26 00:00:00",Conventional,1.033813257,840443.27,275471.41,94682.21,976.58,103127.17,,,
"San Francisco",Weekly,"2023-02-19 00:00:00",Conventional,1.474433437,618500.59,183127.73,107042.76,980.88,118828.25,,,
"San Francisco",Weekly,"2023-02-12 00:00:00",Conventional,1.298558104,953030.73,341712.52,138319.46,1181.41,130514.91,,,
"San Francisco",Weekly,"2023-02-05 00:00:00",Conventional,1.464044320,687694.54,236248.97,92550.50,1247.72,124863.92,,,
Seattle,Weekly,"2023-02-26 00:00:00",Conventional,1.446449388,455138.60,58174.46,40443.94,3831.37,114502.65,,,
Seattle,Weekly,"2023-02-19 00:00:00",Conventional,1.394438535,506217.35,62887.52,72474.49,2938.74,75396.46,,,
Seattle,Weekly,"2023-02-12 00:00:00",Conventional,1.247757192,630250.69,72171.63,85518.22,4186.51,85430.86,,,
Seattle,Weekly,"2023-02-05 00:00:00",Conventional,1.305816569,563334.60,62435.83,64484.06,3869.54,98992.24,,,
"South Carolina",Weekly,"2023-02-26 00:00:00",Conventional,1.034966291,561187.70,217465.23,42375.42,280.05,191439.32,,,
"South Carolina",Weekly,"2023-02-19 00:00:00",Conventional,0.962732103,602463.05,252940.58,46076.71,255.73,184635.01,,,
"South Carolina",Weekly,"2023-02-12 00:00:00",Conventional,0.947835359,681000.35,285999.07,71580.28,378.24,167804.31,,,
"South Carolina",Weekly,"2023-02-05 00:00:00",Conventional,0.997732489,585914.05,249394.88,43211.62,378.06,144257.65,,,
Spokane,Weekly,"2023-02-26 00:00:00",Conventional,1.125115423,68883.92,11946.92,8984.63,320.59,22194.20,,,
Spokane,Weekly,"2023-02-19 00:00:00",Conventional,1.142144806,76837.38,12608.96,14296.02,451.38,14676.49,,,
Spokane,Weekly,"2023-02-12 00:00:00",Conventional,1.063011529,93191.09,13272.57,14831.58,107.23,17344.53,,,
Spokane,Weekly,"2023-02-05 00:00:00",Conventional,1.094863046,82858.50,12147.88,12602.35,17.01,18624.30,,,
"St. Louis",Weekly,"2023-02-26 00:00:00",Conventional,0.875856213,232906.38,86006.85,4455.26,1.89,74115.97,,,
"St. Louis",Weekly,"2023-02-19 00:00:00",Conventional,0.814006995,217912.49,83489.94,3028.67,11.34,62877.44,,,
"St. Louis",Weekly,"2023-02-12 00:00:00",Conventional,0.728271647,317465.08,120901.91,4631.35,14.17,75438.04,,,
"St. Louis",Weekly,"2023-02-05 00:00:00",Conventional,0.939983744,221220.80,76857.55,4436.31,22.68,69776.75,,,
Syracuse,Weekly,"2023-02-26 00:00:00",Conventional,1.032744878,80362.70,11115.26,30894.97,355.58,31845.59,,,
Syracuse,Weekly,"2023-02-19 00:00:00",Conventional,0.994900182,82191.18,12245.62,32015.63,372.93,31077.32,,,
Syracuse,Weekly,"2023-02-12 00:00:00",Conventional,0.986699647,103201.26,19969.15,39437.05,291.35,36527.38,,,
Syracuse,Weekly,"2023-02-05 00:00:00",Conventional,1.048996991,84066.85,11902.29,34463.55,356.04,31242.62,,,
Tampa,Weekly,"2023-02-26 00:00:00",Conventional,0.959452623,703395.68,334587.88,4799.73,124.60,221011.63,,,
Tampa,Weekly,"2023-02-19 00:00:00",Conventional,0.875410325,742221.85,389430.86,6083.11,89.33,201838.65,,,
Tampa,Weekly,"2023-02-12 00:00:00",Conventional,0.872604313,814884.21,425329.72,6492.51,83.27,212238.98,,,
Tampa,Weekly,"2023-02-05 00:00:00",Conventional,0.882910598,767272.60,415242.83,6074.15,45.36,211494.96,,,
Toledo,Weekly,"2023-02-26 00:00:00",Conventional,0.902015914,142343.92,22171.76,26535.51,13141.41,40343.44,,,
Toledo,Weekly,"2023-02-19 00:00:00",Conventional,1.003834039,130853.14,22510.48,29715.38,4446.59,26752.74,,,
Toledo,Weekly,"2023-02-12 00:00:00",Conventional,0.917509665,174184.81,26516.44,33874.40,17359.22,28470.05,,,
Toledo,Weekly,"2023-02-05 00:00:00",Conventional,0.888884672,150366.04,27961.57,22297.94,12538.30,26148.93,,,
"West Tex/New Mexico",Weekly,"2023-02-26 00:00:00",Conventional,0.783092142,891836.32,211375.00,72052.00,2319.55,374315.98,,,
"West Tex/New Mexico",Weekly,"2023-02-19 00:00:00",Conventional,0.767319132,999140.02,291395.97,66183.27,2182.23,360070.78,,,
"West Tex/New Mexico",Weekly,"2023-02-12 00:00:00",Conventional,0.702926623,1181178.08,272457.16,127679.74,4977.18,407247.68,,,
"West Tex/New Mexico",Weekly,"2023-02-05 00:00:00",Conventional,0.758857195,1040748.43,262824.85,71129.25,2621.08,378308.91,,,
Wichita,Weekly,"2023-02-26 00:00:00",Conventional,0.789344119,116033.15,22656.75,4587.15,66.15,52368.97,,,
Wichita,Weekly,"2023-02-19 00:00:00",Conventional,0.834715973,115472.35,24187.88,9518.57,53.86,35972.89,,,
Wichita,Weekly,"2023-02-12 00:00:00",Conventional,0.861681279,149333.50,27950.60,14612.48,75.36,38873.37,,,
Wichita,Weekly,"2023-02-05 00:00:00",Conventional,0.812934184,113802.86,25482.19,5029.98,77.49,35253.80,,,
California,Weekly,"2023-02-26 00:00:00",Conventional,1.150776311,5890268.14,1432728.94,390009.68,94979.04,1217881.05,,,
California,Weekly,"2023-02-19 00:00:00",Conventional,1.243609299,5595378.23,1279934.92,404688.51,134233.77,1229008.98,,,
California,Weekly,"2023-02-12 00:00:00",Conventional,1.160223688,7253322.98,1639226.47,600677.40,230450.67,1343614.54,,,
California,Weekly,"2023-02-05 00:00:00",Conventional,1.204475113,5882831.11,1453097.06,374818.32,110738.92,1282981.21,,,
"Great Lakes",Weekly,"2023-02-26 00:00:00",Conventional,0.956724370,4234133.32,750411.22,658761.50,381439.56,1235331.15,,,
"Great Lakes",Weekly,"2023-02-19 00:00:00",Conventional,1.036336726,3844663.15,760942.72,678521.73,134997.70,940204.33,,,
"Great Lakes",Weekly,"2023-02-12 00:00:00",Conventional,0.880396536,5419449.31,908184.86,968606.46,491089.98,1030267.97,,,
"Great Lakes",Weekly,"2023-02-05 00:00:00",Conventional,1.011145074,4223112.38,781042.79,614850.64,381391.54,953547.32,,,
Midsouth,Weekly,"2023-02-26 00:00:00",Conventional,1.007472886,4263849.00,1218799.31,684446.33,12442.11,1591887.68,,,
Midsouth,Weekly,"2023-02-19 00:00:00",Conventional,1.004156203,4268303.57,1287584.56,701084.78,10998.23,1439228.65,,,
Midsouth,Weekly,"2023-02-12 00:00:00",Conventional,0.997284496,4930008.68,1567389.36,875184.94,16387.52,1425959.72,,,
Midsouth,Weekly,"2023-02-05 00:00:00",Conventional,1.071074272,4215780.28,1256813.19,691601.51,12919.10,1348087.72,,,
Northeast,Weekly,"2023-02-26 00:00:00",Conventional,1.119755162,5751965.31,738810.33,2997843.34,37845.06,1576754.65,,,
Northeast,Weekly,"2023-02-19 00:00:00",Conventional,1.210067019,5294634.66,761127.80,2522587.04,54102.70,1526596.41,,,
Northeast,Weekly,"2023-02-12 00:00:00",Conventional,1.219752460,6644563.50,984434.64,3485401.68,39041.65,1708275.96,,,
Northeast,Weekly,"2023-02-05 00:00:00",Conventional,1.261342547,5181478.79,778415.15,2340744.22,31475.75,1649386.41,,,
Plains,Weekly,"2023-02-26 00:00:00",Conventional,0.937639138,2032767.27,594312.26,360334.53,5098.34,758103.88,,,
Plains,Weekly,"2023-02-19 00:00:00",Conventional,0.895980973,2173592.41,652821.29,444877.92,4213.59,707998.39,,,
Plains,Weekly,"2023-02-12 00:00:00",Conventional,0.861219240,2694086.65,762440.02,703601.55,4705.53,774320.23,,,
Plains,Weekly,"2023-02-05 00:00:00",Conventional,0.961686901,2070197.24,635991.22,388293.29,6292.56,683696.33,,,
"South Central",Weekly,"2023-02-26 00:00:00",Conventional,0.754219409,5479161.08,1560500.32,435179.24,47296.61,2115402.29,,,
"South Central",Weekly,"2023-02-19 00:00:00",Conventional,0.725043305,5945530.41,1895027.74,453706.63,34311.47,2026425.91,,,
"South Central",Weekly,"2023-02-12 00:00:00",Conventional,0.712432854,6686885.38,1737146.69,663533.55,102990.60,2606964.17,,,
"South Central",Weekly,"2023-02-05 00:00:00",Conventional,0.757769814,5467767.31,1733901.11,358411.70,40916.65,1952962.78,,,
Southeast,Weekly,"2023-02-26 00:00:00",Conventional,0.963937528,5984169.20,2731321.48,121363.47,985.70,1848064.10,,,
Southeast,Weekly,"2023-02-19 00:00:00",Conventional,0.885404757,6286115.65,3103340.65,166196.15,1312.42,1650652.91,,,
Southeast,Weekly,"2023-02-12 00:00:00",Conventional,0.887259225,6932422.22,3352159.48,213674.31,1315.41,1658220.80,,,
Southeast,Weekly,"2023-02-05 00:00:00",Conventional,0.892537293,6423533.31,3189907.95,125395.09,1545.08,1543493.23,,,
West,Weekly,"2023-02-26 00:00:00",Conventional,1.006112484,6177961.72,1204697.11,577932.05,23579.69,1838733.53,,,
West,Weekly,"2023-02-19 00:00:00",Conventional,1.001408804,6921753.85,1464692.21,728940.13,22179.26,1566018.27,,,
West,Weekly,"2023-02-12 00:00:00",Conventional,0.961728515,8460001.74,1653800.40,910064.65,29652.55,1666599.58,,,
West,Weekly,"2023-02-05 00:00:00",Conventional,0.924469434,7477887.39,1436345.58,685120.94,28202.58,1697310.30,,,
"Total U.S.",Weekly,"2023-02-26 00:00:00",Conventional,0.994325932,39814275.04,10231580.97,6225870.13,603666.11,12182158.33,,,
"Total U.S.",Weekly,"2023-02-19 00:00:00",Conventional,1.001519733,40329971.93,11205471.88,6100602.88,396349.14,11086133.85,,,
"Total U.S.",Weekly,"2023-02-12 00:00:00",Conventional,0.970595743,49020740.44,12604781.93,8420744.54,915633.91,12214222.96,,,
"Total U.S.",Weekly,"2023-02-05 00:00:00",Conventional,1.005980583,40942587.80,11265514.05,5579235.72,613482.19,11111465.28,,,
Albany,Weekly,"2023-02-26 00:00:00",Organic,1.794191009,2917.66,31.69,297.75,0.00,2404.19,,,
Albany,Weekly,"2023-02-19 00:00:00",Organic,1.712561798,2596.18,10.18,257.68,1.02,2162.65,,,
Albany,Weekly,"2023-02-12 00:00:00",Organic,1.767550475,2817.29,35.64,285.04,0.00,2367.81,,,
Albany,Weekly,"2023-02-05 00:00:00",Organic,1.769519086,3004.87,21.39,267.92,0.00,2501.49,,,
Atlanta,Weekly,"2023-02-26 00:00:00",Organic,1.057948527,52538.82,58.25,4356.04,0.00,34182.55,,,
Atlanta,Weekly,"2023-02-19 00:00:00",Organic,1.012431582,48543.46,73.19,3667.08,0.00,32262.61,,,
Atlanta,Weekly,"2023-02-12 00:00:00",Organic,0.942095578,62239.91,50.51,3976.24,0.00,44241.05,,,
Atlanta,Weekly,"2023-02-05 00:00:00",Organic,1.002031991,64589.10,56.09,4064.16,0.00,44820.73,,,
Baltimore/Washington,Weekly,"2023-02-26 00:00:00",Organic,1.681392197,50062.58,427.22,2559.18,22.92,39751.24,,,
Baltimore/Washington,Weekly,"2023-02-19 00:00:00",Organic,1.578127849,55074.84,429.85,2897.04,21.80,44021.29,,,
Baltimore/Washington,Weekly,"2023-02-12 00:00:00",Organic,1.659212671,50142.79,362.92,2619.20,25.25,40197.57,,,
Baltimore/Washington,Weekly,"2023-02-05 00:00:00",Organic,1.635039365,51222.87,262.66,2960.69,11.50,41868.55,,,
Birmingham/Montgomery,Weekly,"2023-02-26 00:00:00",Organic,0.936431714,19664.51,19.58,394.93,0.00,16005.65,,,
Birmingham/Montgomery,Weekly,"2023-02-19 00:00:00",Organic,0.897228108,14768.32,28.26,274.77,0.00,12362.86,,,
Birmingham/Montgomery,Weekly,"2023-02-12 00:00:00",Organic,0.871572786,19425.97,53.51,243.66,0.00,15126.66,,,
Birmingham/Montgomery,Weekly,"2023-02-05 00:00:00",Organic,0.963851419,17469.79,30.32,269.16,0.00,16295.87,,,
Boise,Weekly,"2023-02-26 00:00:00",Organic,1.512585638,7331.06,112.04,818.82,0.00,2207.76,,,
Boise,Weekly,"2023-02-19 00:00:00",Organic,1.599539627,5313.23,121.41,474.94,0.00,1440.60,,,
Boise,Weekly,"2023-02-12 00:00:00",Organic,1.525776161,7056.18,134.67,573.26,0.00,2305.80,,,
Boise,Weekly,"2023-02-05 00:00:00",Organic,1.610969574,6367.80,123.95,468.39,0.00,1839.60,,,
Boston,Weekly,"2023-02-26 00:00:00",Organic,1.630199647,30576.77,42.89,1246.31,0.00,28345.53,,,
Boston,Weekly,"2023-02-19 00:00:00",Organic,1.621855861,31056.01,56.21,1319.27,0.00,29051.82,,,
Boston,Weekly,"2023-02-12 00:00:00",Organic,1.590614097,34472.48,40.30,1650.42,0.00,32134.94,,,
Boston,Weekly,"2023-02-05 00:00:00",Organic,1.688278329,31194.05,57.83,1188.01,0.00,29300.83,,,
Buffalo/Rochester,Weekly,"2023-02-26 00:00:00",Organic,1.665927213,11882.73,474.53,93.38,0.00,11278.36,,,
Buffalo/Rochester,Weekly,"2023-02-19 00:00:00",Organic,1.783688351,10145.86,391.15,85.23,3.33,9566.63,,,
Buffalo/Rochester,Weekly,"2023-02-12 00:00:00",Organic,1.676162562,11848.40,424.33,67.76,0.00,11323.27,,,
Buffalo/Rochester,Weekly,"2023-02-05 00:00:00",Organic,1.743199160,11919.83,557.34,98.89,1.11,11226.17,,,
Charlotte,Weekly,"2023-02-26 00:00:00",Organic,1.623374221,16254.09,162.26,1771.16,26.52,12706.28,,,
Charlotte,Weekly,"2023-02-19 00:00:00",Organic,1.557847946,19547.05,126.87,2084.93,11.04,15830.30,,,
Charlotte,Weekly,"2023-02-12 00:00:00",Organic,1.443536322,19418.92,112.56,1646.74,3.32,16370.91,,,
Charlotte,Weekly,"2023-02-05 00:00:00",Organic,1.521779266,18729.60,230.05,1880.74,8.85,15549.18,,,
Chicago,Weekly,"2023-02-26 00:00:00",Organic,1.488364550,50030.31,663.59,6762.08,0.00,17682.84,,,
Chicago,Weekly,"2023-02-19 00:00:00",Organic,1.323395524,45444.40,536.08,4756.84,0.00,22943.04,,,
Chicago,Weekly,"2023-02-12 00:00:00",Organic,1.382114392,43893.97,823.87,5670.87,0.00,19679.04,,,
Chicago,Weekly,"2023-02-05 00:00:00",Organic,1.610580798,34419.30,440.25,3545.36,0.00,14165.52,,,
Cincinnati/Dayton,Weekly,"2023-02-26 00:00:00",Organic,1.740747539,15184.46,10.54,2707.72,0.00,3790.00,,,
Cincinnati/Dayton,Weekly,"2023-02-19 00:00:00",Organic,1.742424865,11823.20,11.61,2163.49,0.00,3301.74,,,
Cincinnati/Dayton,Weekly,"2023-02-12 00:00:00",Organic,1.743505098,12936.53,17.94,2281.94,0.00,3675.61,,,
Cincinnati/Dayton,Weekly,"2023-02-05 00:00:00",Organic,1.756011745,13237.12,15.82,2659.71,0.00,3513.67,,,
Columbus,Weekly,"2023-02-26 00:00:00",Organic,1.777319022,9537.92,361.31,584.12,0.00,3196.17,,,
Columbus,Weekly,"2023-02-19 00:00:00",Organic,1.814165504,9113.83,394.02,594.27,0.00,3302.92,,,
Columbus,Weekly,"2023-02-12 00:00:00",Organic,1.792663961,8495.88,317.70,568.26,0.00,3488.32,,,
Columbus,Weekly,"2023-02-05 00:00:00",Organic,1.878054713,8323.45,404.22,509.35,0.00,3637.95,,,
"Dallas/Ft. Worth",Weekly,"2023-02-26 00:00:00",Organic,1.178787199,45624.66,4781.47,237.73,0.00,28299.89,,,
"Dallas/Ft. Worth",Weekly,"2023-02-19 00:00:00",Organic,1.211891122,40357.60,4023.62,260.63,0.00,24341.33,,,
"Dallas/Ft. Worth",Weekly,"2023-02-12 00:00:00",Organic,1.178287949,46107.14,4694.80,281.32,0.00,25121.68,,,
"Dallas/Ft. Worth",Weekly,"2023-02-05 00:00:00",Organic,1.272110970,43821.13,5679.65,381.89,0.00,23478.44,,,
Denver,Weekly,"2023-02-26 00:00:00",Organic,1.078479396,146167.99,33556.44,524.28,0.00,14259.53,,,
Denver,Weekly,"2023-02-19 00:00:00",Organic,1.136181429,39212.21,4239.61,264.80,0.00,11669.18,,,
Denver,Weekly,"2023-02-12 00:00:00",Organic,1.157982285,40784.14,4910.39,351.27,0.00,10843.88,,,
Denver,Weekly,"2023-02-05 00:00:00",Organic,1.097734970,41171.95,4533.89,273.25,0.00,12366.51,,,
Detroit,Weekly,"2023-02-26 00:00:00",Organic,1.647978055,12498.55,245.97,2020.99,0.00,4966.22,,,
Detroit,Weekly,"2023-02-19 00:00:00",Organic,1.591313564,11809.78,239.53,1856.19,0.00,5618.71,,,
Detroit,Weekly,"2023-02-12 00:00:00",Organic,1.610624415,11848.49,287.42,2008.17,0.00,5274.98,,,
Detroit,Weekly,"2023-02-05 00:00:00",Organic,1.686339408,11029.54,331.66,1602.84,0.00,5233.18,,,
"Grand Rapids",Weekly,"2023-02-26 00:00:00",Organic,1.556749040,4391.32,2.39,568.72,0.00,3820.21,,,
"Grand Rapids",Weekly,"2023-02-19 00:00:00",Organic,1.539427148,4375.58,5.67,497.77,0.00,3872.14,,,
"Grand Rapids",Weekly,"2023-02-12 00:00:00",Organic,1.537482067,3794.53,23.68,362.15,0.00,3408.70,,,
"Grand Rapids",Weekly,"2023-02-05 00:00:00",Organic,1.554831362,4331.76,9.56,677.81,0.00,3644.38,,,
Harrisburg/Scranton,Weekly,"2023-02-26 00:00:00",Organic,1.408378926,15131.09,157.61,400.55,0.00,14572.93,,,
Harrisburg/Scranton,Weekly,"2023-02-19 00:00:00",Organic,1.419974932,12917.71,120.49,440.91,0.00,12315.81,,,
Harrisburg/Scranton,Weekly,"2023-02-12 00:00:00",Organic,1.437776834,14820.21,269.56,520.75,0.00,13990.75,,,
Harrisburg/Scranton,Weekly,"2023-02-05 00:00:00",Organic,1.439534441,14265.88,224.35,596.38,0.00,13445.16,,,
Hartford/Springfield,Weekly,"2023-02-26 00:00:00",Organic,1.779511778,15497.21,451.88,3544.30,0.00,11434.57,,,
Hartford/Springfield,Weekly,"2023-02-19 00:00:00",Organic,1.755551252,16340.74,313.06,4004.51,0.00,11990.74,,,
Hartford/Springfield,Weekly,"2023-02-12 00:00:00",Organic,1.765156196,17332.99,635.31,5352.98,1.46,11265.11,,,
Hartford/Springfield,Weekly,"2023-02-05 00:00:00",Organic,1.842034111,15506.80,279.70,3518.07,0.00,11664.81,,,
Houston,Weekly,"2023-02-26 00:00:00",Organic,1.034793267,20225.80,3921.41,44.85,0.00,9702.92,,,
Houston,Weekly,"2023-02-19 00:00:00",Organic,0.994460439,19975.99,3238.16,57.10,0.00,11217.29,,,
Houston,Weekly,"2023-02-12 00:00:00",Organic,1.007541813,21806.13,3853.83,57.09,0.00,11859.97,,,
Houston,Weekly,"2023-02-05 00:00:00",Organic,1.028463561,22673.57,3664.49,14.25,0.00,12761.84,,,
Indianapolis,Weekly,"2023-02-26 00:00:00",Organic,1.578626126,8884.05,74.30,659.08,0.00,3902.25,,,
Indianapolis,Weekly,"2023-02-19 00:00:00",Organic,1.485941175,8330.70,79.59,542.08,0.00,4559.96,,,
Indianapolis,Weekly,"2023-02-12 00:00:00",Organic,1.503182570,8383.23,114.68,554.60,0.00,4532.50,,,
Indianapolis,Weekly,"2023-02-05 00:00:00",Organic,1.502687262,7589.48,141.53,424.85,0.00,4165.57,,,
Jacksonville,Weekly,"2023-02-26 00:00:00",Organic,1.220587223,11482.34,105.08,126.59,0.00,6178.58,,,
Jacksonville,Weekly,"2023-02-19 00:00:00",Organic,1.215157083,12266.54,114.74,175.09,0.00,6102.55,,,
Jacksonville,Weekly,"2023-02-12 00:00:00",Organic,1.362043328,6247.56,72.94,146.27,0.00,4833.57,,,
Jacksonville,Weekly,"2023-02-05 00:00:00",Organic,1.388470857,6763.56,68.87,158.90,0.00,5250.88,,,
"Las Vegas",Weekly,"2023-02-26 00:00:00",Organic,1.127434078,19289.83,1586.40,231.49,0.00,8249.85,,,
"Las Vegas",Weekly,"2023-02-19 00:00:00",Organic,1.235847160,13292.81,1243.66,231.48,0.00,4932.90,,,
"Las Vegas",Weekly,"2023-02-12 00:00:00",Organic,1.057231195,18314.78,1377.91,195.25,0.00,9107.96,,,
"Las Vegas",Weekly,"2023-02-05 00:00:00",Organic,1.210527083,15588.17,1208.11,252.07,0.00,6394.24,,,
"Los Angeles",Weekly,"2023-02-26 00:00:00",Organic,1.681712691,125711.58,7430.84,1006.50,2.76,66337.36,,,
"Los Angeles",Weekly,"2023-02-19 00:00:00",Organic,1.600621993,115984.36,8149.40,1028.04,9.66,53454.62,,,
"Los Angeles",Weekly,"2023-02-12 00:00:00",Organic,1.463058076,128827.56,7997.36,1065.68,0.00,66488.73,,,
"Los Angeles",Weekly,"2023-02-05 00:00:00",Organic,1.646158539,113296.83,6418.54,944.90,0.00,51533.25,,,
Louisville,Weekly,"2023-02-26 00:00:00",Organic,1.520305631,7936.45,0.00,835.09,0.00,1164.84,,,
Louisville,Weekly,"2023-02-19 00:00:00",Organic,1.472786642,6226.98,0.00,557.14,0.00,1126.96,,,
Louisville,Weekly,"2023-02-12 00:00:00",Organic,1.509515932,5999.11,0.00,673.19,0.00,689.90,,,
Louisville,Weekly,"2023-02-05 00:00:00",Organic,1.756025098,5561.10,0.94,610.82,0.00,1167.95,,,
"Miami/Ft. Lauderdale",Weekly,"2023-02-26 00:00:00",Organic,1.241815581,42050.53,357.21,0.00,0.00,15748.34,,,
"Miami/Ft. Lauderdale",Weekly,"2023-02-19 00:00:00",Organic,1.314176716,39272.36,386.87,0.00,0.00,28069.87,,,
