Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Columbus,Weekly,"2023-01-22 00:00:00",Conventional,0.963677771,267970.28,64475.79,20709.56,5042.54,44154.99,,,
Columbus,Weekly,"2023-01-15 00:00:00",Conventional,0.988861828,272330.56,61537.10,20372.38,10354.70,42402.05,,,
Columbus,Weekly,"2023-01-09 00:00:00",Conventional,0.989165601,252900.40,46622.98,29025.82,2496.51,50968.94,,,
"Dallas/Ft. Worth",Weekly,"2023-01-29 00:00:00",Conventional,0.780560388,1503759.97,364538.33,93502.04,9208.39,500954.91,,,
"Dallas/Ft. Worth",Weekly,"2023-01-22 00:00:00",Conventional,0.728017827,1554372.01,350984.54,146128.74,6414.62,527247.39,,,
"Dallas/Ft. Worth",Weekly,"2023-01-15 00:00:00",Conventional,0.774581810,1559013.04,350104.42,140745.75,8478.11,600536.73,,,
"Dallas/Ft. Worth",Weekly,"2023-01-09 00:00:00",Conventional,0.809745762,1407571.07,353325.22,113278.27,5421.93,472069.81,,,
Denver,Weekly,"2023-01-29 00:00:00",Conventional,0.961455699,1043804.89,171300.58,131997.86,2413.31,298299.13,,,
Denver,Weekly,"2023-01-22 00:00:00",Conventional,1.016971979,952279.76,167271.54,95378.61,2771.61,279383.67,,,
Denver,Weekly,"2023-01-15 00:00:00",Conventional,1.017178937,835065.29,179858.88,66997.84,2976.87,268384.92,,,
Denver,Weekly,"2023-01-09 00:00:00",Conventional,0.901652284,900792.74,171218.78,133716.73,2784.49,269069.05,,,
Detroit,Weekly,"2023-01-29 00:00:00",Conventional,0.983392854,480906.53,124251.60,37132.87,18866.06,101871.61,,,
Detroit,Weekly,"2023-01-22 00:00:00",Conventional,0.977396127,457640.41,95413.53,49031.17,32032.83,108571.28,,,
Detroit,Weekly,"2023-01-15 00:00:00",Conventional,1.026764452,525630.63,94501.04,56676.19,59092.36,114475.02,,,
Detroit,Weekly,"2023-01-09 00:00:00",Conventional,1.005040845,437235.09,68409.38,68582.20,20344.06,118902.10,,,
"Grand Rapids",Weekly,"2023-01-29 00:00:00",Conventional,1.251913674,153578.99,40456.27,34967.86,21705.24,42181.80,,,
"Grand Rapids",Weekly,"2023-01-22 00:00:00",Conventional,1.132732773,165999.28,19408.53,56786.00,40066.75,36842.89,,,
"Grand Rapids",Weekly,"2023-01-15 00:00:00",Conventional,1.318455398,207925.43,19863.86,49229.42,65636.97,43403.34,,,
"Grand Rapids",Weekly,"2023-01-09 00:00:00",Conventional,1.272462323,156059.36,22763.28,35798.83,22912.16,66102.13,,,
Harrisburg/Scranton,Weekly,"2023-01-29 00:00:00",Conventional,1.019608708,421201.43,157743.50,104390.61,14990.56,130523.69,,,
Harrisburg/Scranton,Weekly,"2023-01-22 00:00:00",Conventional,1.026145880,413068.72,153469.49,100276.72,15335.72,130985.23,,,
Harrisburg/Scranton,Weekly,"2023-01-15 00:00:00",Conventional,1.062340566,423464.69,148709.23,114731.93,23309.19,125801.04,,,
Harrisburg/Scranton,Weekly,"2023-01-09 00:00:00",Conventional,1.105986800,382889.51,151960.59,97958.02,13777.67,112528.04,,,
Hartford/Springfield,Weekly,"2023-01-29 00:00:00",Conventional,1.373825396,345001.79,16609.59,241292.70,184.17,75704.74,,,
Hartford/Springfield,Weekly,"2023-01-22 00:00:00",Conventional,1.416649410,314200.20,14010.79,212871.96,84.56,76738.81,,,
Hartford/Springfield,Weekly,"2023-01-15 00:00:00",Conventional,1.340707523,359613.52,17883.96,257098.92,1074.07,71748.49,,,
Hartford/Springfield,Weekly,"2023-01-09 00:00:00",Conventional,1.417861853,316550.95,15230.17,224600.67,279.01,67585.76,,,
Houston,Weekly,"2023-01-29 00:00:00",Conventional,0.742722160,1012486.69,305463.56,86758.99,1401.34,298242.01,,,
Houston,Weekly,"2023-01-22 00:00:00",Conventional,0.775340282,1029398.24,247906.46,164182.96,775.71,294560.29,,,
Houston,Weekly,"2023-01-15 00:00:00",Conventional,0.791852151,1009678.75,257013.59,173507.51,1313.85,306915.12,,,
Houston,Weekly,"2023-01-09 00:00:00",Conventional,0.792814301,903594.72,254117.28,183356.06,780.25,221035.67,,,
Indianapolis,Weekly,"2023-01-29 00:00:00",Conventional,0.916499534,285505.23,66788.64,30836.47,5396.60,59792.45,,,
